idx,content,pubdate,url,uid,pid,mid,testdate,status,retestdate,status_2,followers,error,topic,class
36868,美国民主被白左折磨得半死，如今又给白右踩上几脚，已经死绝了。没有中华文明的大复兴，人类不会有民主进步了。,10/5/18,https://weibo.com/6057504665/GCvReth49,6057504665,GCvReth49,4291790000000000.0,10/9/18,available,11/28/18,available,6006.0,,democracy,uncensored
235,今天是2018最后一天，原本今年是改革开放四十周年，中国手中握了一把好牌。但是，这一年发生了太多的事，大家的期望落空了，春天的时候就说“寒冬将至”，对于即将到来的2019充满忧虑。但是，我坚信“发展是硬道理”，“民心不可侮”，中国还是会克服重重困难，中国人民的勤奋和创造力一定能迎来柳暗花明的2019,12/30/18,https://weibo.com/2573254044/H9Lfza0D9,2573254044,H9Lfza0D9,4323270000000000.0,1/3/19,not available,1/4/19,not available,,Permission Denied!,china,censored
40280,我觉得天天对忘羡来说是很幸福的事情，我看着也觉得很温暖，即便是被和谐的部分我也从来不觉得过，因为他们的感情和他们的经历值得他们这样朝朝暮暮。我看过一句话，大概是老祖攻遍天下，却甘愿受于忘机，是的，这就是羡羡爱忘机的证明，一点也不比忘机少。魔道祖师,9/24/18,https://weibo.com/5100490072/GAXiHwQeF,5100490072,GAXiHwQeF,4288080000000000.0,9/28/18,available,1/2/19,available,73.0,,propaganda,uncensored
23494,特朗普的新名字～堂吉诃德·川普。其实，有利益分歧或冲突是正常的并不可怕，真正可怕的是对对方充满幻觉。这几天看美国媒体报道其政界人物就中美贸易冲突的看法。特朗普和分管官员脑子里充满了堂吉诃德式的念头，真心认为“中国社会因贸易战这而分裂”，“中国经济快垮了”，“中国人当他们觉得被包围了，就会投降”。你会觉得美国是怎么了，堂吉诃德执掌白宫？,10/3/18,https://weibo.com/1609508501/GCcmSxV6n,1609508501,GCcmSxV6n,4291040000000000.0,10/7/18,available,12/2/18,available,949.0,,trump,uncensored
448,特朗普于空军一号上宣布，对中国将在2000亿关税基础上再额外添加2670亿美元关税。……2017年中国出口美国5370亿美元,9/8/18,http://weibo.com/1635524492/GylEb7dHK,1635524492,GylEb7dHK,4281860000000000.0,9/11/18,not available,12/26/18,not available,37393.0,Permission Denied!,trump,censored
265,为什么杭州政府把城城案一直压了6个月、不向外公布？其中到底何方是鬼作怪啊、有共产共党的法律吗？百姓有民主权吗！！,10/13/18,https://weibo.com/3793660612/GDOF7FKt4,3793660612,GDOF7FKt4,4294900000000000.0,10/17/18,available,12/26/18,not available,30.0,Permission Denied!,democracy,censored
137,大家发觉没有，相对于2008年，今年纪念改革开放的好文章，几乎没有。我猜原因有三点：1）过去10年，中国的经济学者没有什么进步，所以没能写出比10年前更好的文章。2）过去10年，中国没有什么真正值得书写的改革举措，因此也就没有什么好的纪念文章了。3）人家写了，但发不出来，所以我们没看到。不知道哪个原因占的成分大一点呢。,12/18/18,https://weibo.com/1035547072/H7RoEu9dn,1035547072,H7RoEu9dn,4318740000000000.0,12/22/18,not available,12/23/18,not available,64855.0,Permission Denied!,china,censored
492,路透社报道，最早下周一，美国总统特朗普宣布，对中国2000亿美元商品加征关税，征税10%，比先前25%的低些。美国总统一意孤行下去是必然的。,9/16/18,http://weibo.com/1736287852/Gzzp6iZrY,1736287852,Gzzp6iZrY,4284780000000000.0,9/19/18,not available,12/27/18,not available,290630.0,Permission Denied!,trump,censored
357,中国人所迷恋的「大局」，大抵也就是一种奴性。皇帝是没有了，权贵集体就是「大局」。经济优于人权，国家优于个人，所以权贵不能闪失。体现在悲惨强奸案上，奴婢们要么今夜和滴滴一起，要么津津有味讨论东哥是否美国作局该如何保，受害者命贱如纸，奴婢只想分得人血馒头。如果说印度作为「强奸国度」是庶民自身的贫贱悲剧，中国这儿，则是权力者和他们的奴仆对尘世和庶民的践踏。人的自由平等一日不成共识，这个国度依然会像这样脏下去。,9/6/18,http://weibo.com/1785667721/Gy70cBbJq,1785667721,Gy70cBbJq,4281300000000000.0,9/9/18,available,12/30/18,not available,96168.0,Permission Denied!,hr,censored
37665,“在白色恐怖时代，向日葵、红色都不能出现。当我们这个时代，自由民主气氛早已经存在社会之中，年轻人是不是开始在制造另一种紧张，因为东西太多，脚步太快，社会有太多东西，是不是有另一种紧张被制造出来了？我相信是有的，想象的愤怒，集体的歇斯底里，生命什么时候会因为漏掉一条新闻而活不下去吗？没有，但这样反而被逼得走不下去了。”,10/29/18,https://weibo.com/6405023827/H0bw2oaHa,6405023827,H0bw2oaHa,4300440000000000.0,11/2/18,available,11/29/18,available,18.0,,democracy,uncensored
