idx,content,pubdate,url,uid,pid,mid,testdate,status,retestdate,status_2,followers,error,topic,class,controversial,cap
647,正如2016年，国人都为特朗普当选高兴，觉得与希拉里迈起来，美国会对中国更好…事以愿违……………现在，同样许多国人误为特朗普输了，分裂难免，特朗普接下决策更艰难………错误，清醒点!本尊和特朗普当选与许多人（后来你们才知误判）乐观相反!美国将更强势他压制中国。,11/7/18,https://weibo.com/1573355695/H1z9yl4YV,1573355695,H1z9yl4YV,4303730000000000.0,11/11/18,not available,12/28/18,not available,0.0,Permission Denied!,trump,censored,0.5384615384615384,0.15384615384615385
31127,我的妈呀，看看现在这形势，之前说的中美打仗小鬼受罪，可能是真的了，这加拿大给美国办事，被中国打了，想找美国，特朗普肯定要报酬呀！美国收两份好处，真黑心！ps.名誉问题暂不考虑,12/13/18,https://weibo.com/2915238057/H7201sLaq,2915238057,H7201sLaq,4316760000000000.0,12/17/18,available,12/28/18,available,61.0,,trump,uncensored,0.6153846153846154,0.0
1739,当我们这些底层百姓和草根们为孟晚舟被加拿大无礼扣留而呐喊时，看到一则头条新闻有不明人士闯入孟晚舟加拿大的住宅，原来孟女士还是很有钱的！看来是不需要我们这帮穷人瞎嚷嚷了!爱国也许也只是我们这些底层百姓!,12/10/18,https://weibo.com/1613926117/H6AXt6vfA,1613926117,H6AXt6vfA,4315720000000000.0,12/14/18,available,12/25/18,available,10653.0,,patriotism,uncensored,0.6923076923076923,0.07692307692307693
15294,澳大利亚是第一个听从华盛顿指挥放弃使用华为产品的美国盟友。复旦大学学者吴心伯接受《环球时报》采访时认为，如果当时中国采取坚决行动回击澳大利亚的上述决定，其他国家围绕放弃华为产品的举措可能就会多做一些斟酌。“其他国家看到堪培拉跟随华盛顿抵制华为没有付出什么代价，会认为自己也那样做是合适的选择。”吴心伯说。,12/16/18,https://weibo.com/5764792540/H7AY2aycK,5764792540,H7AY2aycK,4318100000000000.0,12/20/18,available,1/1/19,available,327.0,,china,uncensored,0.5384615384615384,0.0
10273,经历了租车不成的小插曲，杜老师提前感受英国铁路，获得满满自豪感。恰逢坐的班次被取消，其他班次大面积delay，最后大家守着一辆停在站台的空火车，原地等司机，总计耗费一个半小时…杜老师狂diss了一番，说在中国的话，12306早被打爆炸了，于是晚餐俩人分一瓶红酒聊以慰藉2英国·巴斯,12/3/18,https://weibo.com/3199360653/H5BckaQ9o,3199360653,H5BckaQ9o,4313350000000000.0,12/7/18,available,12/19/18,available,139.0,,china,uncensored,0.23076923076923078,0.0
30047,特朗普说中国搞国家资本主义，他自己搞的叫自由资本主义。他其实承认中国的经济体制效率比他高，但是，他又非要说中国是不公平竞争。在中国看来不存在不公平的问题，因为美国的国家干预一点不少于中国。比如说特朗普许诺给农民120亿的补助，再比如通用要关闭美国国内的几个厂，特朗普就威胁说你要关闭，我就把你的补贴都给取消了。美国政府根本就没有袖手旁观，他一直在补贴。美国人要珍惜特朗普，真的。,12/5/18,https://weibo.com/2763139575/H5OBhxB8o,2763139575,H5OBhxB8o,4313860000000000.0,12/9/18,available,12/21/18,available,4375.0,,trump,uncensored,0.6153846153846154,0.07692307692307693
32871,有生之年能够看到新文革的时代，确实幸运2日本·东京,9/26/18,https://weibo.com/1648873990/GB9QX3Rbe,1648873990,GB9QX3Rbe,4288560000000000.0,9/30/18,available,12/31/18,available,300.0,,cr,uncensored,0.6153846153846154,0.0
834,以后干脆都改名叫义气法义气⭐️时刻加紧爱国步伐弘扬社会正能量口号就是：坚决不搞前队友！坚决不蹭其热度！把刀收好不乱放！坚决不插前队友！,12/10/18,https://weibo.com/3642699995/H6EhDsfiT,3642699995,H6EhDsfiT,4315850000000000.0,12/14/18,not available,12/16/18,not available,297.0,Permission Denied!,patriotism,censored,0.38461538461538464,0.15384615384615385
16056,新浪看点“中国新水墨作品展1978-2018”开幕，探讨中国艺术40年发展变革O“中国新水墨作品展1978-2018”开幕，探讨中国艺术40年发展变革,12/18/18,https://weibo.com/1192986980/H7TKFb8hz,1192986980,H7TKFb8hz,4318830000000000.0,12/22/18,available,1/2/19,available,1212.0,,china,uncensored,0.23076923076923078,0.07692307692307693
416,家门口挖出干尸的新闻被和谐的一条都看不见啊？,10/19/18,https://weibo.com/1436066214/GEClUoMEl,1436066214,GEClUoMEl,4296810000000000.0,10/23/18,not available,12/29/18,not available,454.0,Permission Denied!,propaganda,censored,0.38461538461538464,0.07692307692307693
