idx,content,pubdate,url,uid,pid,mid,testdate,status,retestdate,status_2,followers,error,topic,class,controversial,cap
346,2019年我向总理说句话总理，你好！建立社会主义和谐社会，坚持民主法治不是靠后台和黑暗势力的，也不是只有靠粉饰太平得来的。希望正义永远不会缺席，迟到一点没关系。许静十三行许静2济南·中共章丘市委党校,12/20/18,https://weibo.com/5063069943/H89e9BEE6,5063069943,H89e9BEE6,4319420000000000.0,12/24/18,not available,12/25/18,not available,69.0,Permission Denied!,democracy,censored,0.6666666666666666,0.1111111111111111
40742,进博会…马路上都没车的，可以多睡半小时…步行街上发小广告的都被和谐了…,11/6/18,https://weibo.com/2136150700/H1oYQ7t5g,2136150700,H1oYQ7t5g,4303340000000000.0,11/10/18,available,11/28/18,available,129.0,,propaganda,uncensored,0.3333333333333333,0.0
13366,张伯苓是中国著名教育家。一生致力于教育救国，创造了中华教育史上一道辉煌篇章——“南开”教育。据说在南开女子中学的毕业典礼，张校长总会这么嘱咐：“你们将来结婚，相夫教子，要襄助丈夫为公为国，不要要求丈夫升官发财。男人升官发财以后，第一个看不顺眼的就是你这个原配2阿联酋·迪拜,12/11/18,https://weibo.com/2008696843/H6Pmrlf06,2008696843,H6Pmrlf06,4316270000000000.0,12/15/18,available,12/26/18,available,218.0,,china,uncensored,0.6666666666666666,0.0
43,三色幼儿园一审出来了，真的是又丧一次，这个世界上坏人太多了。有没有中国的超级英雄？,12/27/18,https://weibo.com/2245276415/H9iuA4L9V,2245276415,H9iuA4L9V,4322160000000000.0,12/31/18,not available,1/1/19,not available,388.0,Permission Denied!,kindergarten,censored,0.8888888888888888,0.1111111111111111
344,许静改革40年改了些什么玩意？富强民主是什么玩意？法治社会就是个笑话吧,12/20/18,https://weibo.com/3312097315/H85WJ96NC,3312097315,H85WJ96NC,4319290000000000.0,12/24/18,not available,12/24/18,not available,854.0,Permission Denied!,democracy,censored,0.8888888888888888,0.3333333333333333
274,太恶心了，我要是立项的时候知道一个校内暑期实践也要有百分之四十的线上软文阅读量点赞量和投票计分我真的不会报的。假想一个从乡村考来复旦的朋友被项目介绍情怀吸引也来做这个三四线城市调研，队友少，人脉稀，就算他项目做的再好，这么大比例的形式民主，想必最后项目评级评优算报销还是连队友车票都没办法报销好吧。我是从中收获了什么，举个例子也没有太看重经费报销的意思。只是综合之前的一系列事情，真的对某些所谓实践无望了。还是好好读书吧。,10/23/18,https://weibo.com/1844701514/GFgLPueXm,1844701514,GFgLPueXm,4298360000000000.0,10/27/18,available,12/26/18,not available,125.0,Permission Denied!,democracy,censored,0.5555555555555556,0.0
15575,孝顺父母是指，我的自由意志交代给父母了，比如我结婚离婚同性恋异性恋多性恋等等，属于我的私生活都交给我父母决定了，这是不应该的，但两个独立的个体，不代表你们之间毫无感情，看到对方睡马路，就拍手称快呀。我父母把钱给我弟弟，我担心他们养老成问题，这跟我孝顺父母有什么关系啊，最后按中国法律，我必须赡养他们，为了给自己减轻负担，我也得观察他们的经济状况啊，所以我一再讲不要借钱给别人，因为你最后倒霉我得扛着，既然你要我擦屁股，我就得观察你怎么拉屎是不是。,12/17/18,https://weibo.com/1671890613/H7IfDdHmX,1671890613,H7IfDdHmX,4318380000000000.0,12/21/18,available,1/1/19,available,684305.0,,china,uncensored,0.4444444444444444,0.0
2099,微博上看到过这样一群人：他们不顾事实，不讲逻辑，不分青红皂白，只要有人指出他国的优点，或者只是点出本国的不足，就扑上去一顿侮辱攻击；也不知道这种行为是在“爱国”，还是在捣乱、抹黑。其原因，大抵出于弱小者或曾被欺负者的敏感神经吧,12/11/18,https://weibo.com/1169026702/H6KAmbjQf,1169026702,H6KAmbjQf,4316090000000000.0,12/15/18,available,12/26/18,available,109.0,,patriotism,uncensored,0.7777777777777778,0.0
36941,群体的无知这几天实在是看的明白了。民主未必是正义，而适当的专制确实有好处的。社会需要精英去带领，所需要的则是精英之间的分庭抗礼和社会的监督。群体，呵呵。。。,10/7/18,https://weibo.com/1704794485/GCPgN5PlU,1704794485,GCPgN5PlU,4292540000000000.0,10/11/18,available,11/28/18,available,293.0,,democracy,uncensored,0.7777777777777778,0.0
763,孟晚舟案第一次听证现场检方说孟晚舟2013年试图说服一名银行高管，华为与Skycom只是合作关系，曾经持有公司股票但已经卖掉。诉方指控孟晚舟的刑事罪责，与美国刑法第380条所规定的罪行相当。孟晚舟所面临的每项指控都可能导致长达30年的监禁，说她有逃避的动机。争论的焦点是，这应该是决定能否获准保释的一个因素。2加拿大·温哥华,12/7/18,https://weibo.com/1212040547/H6d2dbMVj,1212040547,H6d2dbMVj,4314800000000000.0,12/11/18,not available,12/17/18,not available,1021322.0,Permission Denied!,meng,censored,0.8888888888888888,0.1111111111111111
37444,充分发挥中国特色社会主义民主政治的特色优势，发扬高度民主集中的统一领导。使政治决策科学化，民主化，规范化，人性化。使中国特色社会主义民主政治具有更广泛的统一和高度领导，维护党中央的绝对领导，党领导和指挥一切。2银川·宁安北街,10/22/18,https://weibo.com/6118457202/GF8v5ACU0,6118457202,GF8v5ACU0,4298040000000000.0,10/26/18,available,11/29/18,available,1000.0,,democracy,uncensored,0.4444444444444444,0.1111111111111111
18754,如果用抓人质的办法解决孟晚舟案子，那么中国人在加拿大和美国的多的是，比如说孟晚舟的丈夫和子女都在美国和加拿大。加拿大和美国把他们都抓了，行吗？,12/12/18,https://weibo.com/2133739970/H6VOrnBE9,2133739970,H6VOrnBE9,4316520000000000.0,12/16/18,available,12/27/18,available,300.0,,meng,uncensored,0.8888888888888888,0.0
126,司法独立现在变成了中国老百姓攻击的靶子，有人是很开心的，每次民族主义高涨的时候，虽然经济上受损，但是就像持续了70年的手撕鬼子神剧的作用一样，老百姓对外的敌视加强，但是同时对政府和现有制度的依赖性会加强。当年中国要求加拿大引渡回赖昌星，当时中加还没有引渡协议，加拿大还是把赖昌星交给中国了，这些年引渡的贪官越来越多。为什么引渡华为公主就是政治迫害？华为官方微博的用词反而很谨慎，一再解释他们没有触碰美国的对伊朗制裁的相关法律，说明在别人地盘上做生意遵守别人的法律是最基本的常识，华为自己还在比较有国际法意识的，倒是什么jb都不懂的土鳖们嚷嚷得很外行。目前中方对加拿大硬，对美国软。加拿大很惨，被美国收拾，前段时间加拿大总理讽刺川普，川普变本加厉，现在加拿大司法部门按程序把孟公主交给美国，被中国报复，经济上损失惨重。而中方对美国的贸易战要求却一再妥协，暂缓加税，处境被动。鱼死网破撕破脸对待美国是可能性很小的，神剧和战狼只是宣传片。中方可以让日本，韩国甚至加拿大经济重挫。因为他们对中国有不同程度依赖性。但是美国并不是，一旦撕破脸，川普要发疯冻结所有在美的中国企业资产，中国人的房产是很容易的，那中国老百姓无所谓，但是大量拥有这些资产的阶层是不会允许这种情况发生的。而美国人在中国的资产却少得可怜。扳手劲也好，谈判也好，成败取决于你的实力和你对对方的依赖程度。,12/16/18,https://weibo.com/1025909903/H7zbs7Pdk,1025909903,H7zbs7Pdk,4318040000000000.0,12/20/18,not available,12/21/18,not available,1742.0,Permission Denied!,china,censored,0.8888888888888888,0.1111111111111111
2844,张艺兴Ins取关exo队长都散了吧各位yxh做个人吧！今天什么日子自己心里有点数没！天天嘲别人爱国算什么你们tm的在禁娱日搞事请问自己的定位又是什么高尚的人我真是看不懂欧专注作品期待黄金瞳看我们庄睿实力黑二爷笑死我辽,12/13/18,https://weibo.com/3229157441/H74EDuXCu,3229157441,H74EDuXCu,4316860000000000.0,12/17/18,available,12/28/18,available,128.0,,patriotism,uncensored,0.6666666666666666,0.1111111111111111
6789,没有一个国家是人权楷模【三名美国警察在示威现场殴打黑人不料对方是卧底】O三名美国警察在示威现场殴打黑人不料对方是卧底,11/30/18,https://weibo.com/3054344820/H57rgnwqX,3054344820,H57rgnwqX,4312200000000000.0,12/4/18,available,12/18/18,available,263.0,,hr,uncensored,0.7777777777777778,0.0
